2013 11 18
2014 2 25
媒宣 騰訊 主場----42.6267502449
恩主 媒宣 騰訊----40.4796576161
媒宣 騰訊 恩主----40.4796576161
致歉 教育局 广东话----40.3384254212
法定 教育局 广东话----40.3384254212
騰訊 恩主 主場----40.0874372171
恩主 騰訊 主場----40.0874372171
騰訊 主場 恩主----40.0874372171
过于 教育局 广东话----39.6484696906
致歉 法定 教育局----39.1459093437
上纲上线 教育局 广东话----39.0505080575
反弹 教育局 广东话----39.0505080575
恩主 轟官 再析----38.8226590317
恩主 斥大陸 再析----38.8226590317
騰訊 主場 斥大陸----38.769800005
騰訊 主場 再析----38.769800005
騰訊 恩主 再析----38.6525526259
恩主 轟官 騰訊----38.6525526259
恩主 斥大陸 騰訊----38.6525526259
恩主 轟官 主場----38.6525526259
騰訊 恩主 轟官----38.6525526259
恩主 再析 騰訊----38.6525526259
騰訊 恩主 斥大陸----38.6525526259
恩主 媒宣 主場----38.5520548724
媒宣 恩主 主場----38.5520548724
騰訊 媒宣 恩主----38.5520548724
媒宣 主場 恩主----38.5520548724
致歉 过于 教育局----38.4559536131
过于 法定 教育局----38.4559536131
情绪 教育局 广东话----38.4303996972
教育局 官方 广东话----38.1918964817
致歉 反弹 教育局----37.85799198
反弹 法定 教育局----37.85799198
上纲上线 致歉 教育局----37.85799198
上纲上线 法定 教育局----37.85799198
恩主 觀念 騰訊----37.4019139161
騰訊 觀念 恩主----37.4019139161
发表文章 教育局 广东话----37.288094823
致歉 情绪 教育局----37.2378836197
法定 情绪 教育局----37.2378836197
过于 反弹 教育局----37.1680362495
上纲上线 过于 教育局----37.1680362495
媒宣 騰訊 斥大陸----37.1576485431
斥大陸 媒宣 騰訊----37.1576485431
媒宣 主場 斥大陸----37.1576485431
轟官 媒宣 騰訊----37.1576485431
再析 媒宣 騰訊----37.1576485431
媒宣 主場 再析----37.1576485431
媒宣 騰訊 再析----37.1576485431
媒宣 騰訊 轟官----37.1576485431
