2011 12 19
2012 3 27
臨界點 推至 孔慶東----53.643941714
教授 大學 孔慶東----52.9868431186
教授 孔慶東 港人----52.3738670366
震怒 更將 孔慶東----52.2632544226
之間 更將 孔慶東----52.1989440887
臨界點 之間 孔慶東----52.1989440887
之間 民眾 孔慶東----51.9302698049
之間 震怒 孔慶東----51.5944269502
旋即 更將 孔慶東----51.1837595325
之間 震怒 更將----50.5815888861
震怒 旋即 孔慶東----50.5792423941
北大 教授 港人----50.5651700771
之間 旋即 孔慶東----50.5149320602
臨界點 教授 孔慶東----50.4366597597
教授 更將 孔慶東----50.4366597597
臨界點 更將 孔慶東----50.3502586295
教授 民眾 孔慶東----50.1929642643
臨界點 民眾 孔慶東----50.0943783593
教授 震怒 孔慶東----49.8883448949
之間 教授 孔慶東----49.8300135263
臨界點 震怒 孔慶東----49.7745280215
教授 這番 孔慶東----49.6102141664
震怒 民眾 孔慶東----49.5186477512
震怒 旋即 更將----49.4623479129
之間 旋即 更將----49.3914457698
臨界點 孔慶東 港人----49.3545100155
教授 震怒 更將----49.2864654833
之間 教授 更將----49.2221551494
震怒 更將 視頻----49.1808276399
之間 更將 視頻----49.1133017894
教授 旋即 孔慶東----48.9092112078
臨界點 震怒 更將----48.8752106422
臨界點 之間 更將----48.8076847916
臨界點 旋即 孔慶東----48.74643765
第一 之間 孔慶東----48.7433354818
之間 震怒 旋即----48.7249656246
之間 教授 震怒----48.617638011
臨界點 之間 民眾----48.5255767937
之間 震怒 視頻----48.478558794
臨界點 推至 視頻----48.2195707581
教授 旋即 更將----48.2069705933
臨界點 之間 震怒----48.1729417962
旋即 更將 視頻----48.0473580054
之間 震怒 民眾----47.8908337983
第一 推至 孔慶東----47.798412483
教授 更將 視頻----47.7924251706
臨界點 教授 視頻----47.7924251706
臨界點 旋即 更將----47.7417410076
教授 震怒 旋即----47.6024534548
之間 教授 旋即----47.5381431209
