uid,age,gender,province
1437654575,1980-1989,f,西南
2101799347,1980-1989,f,华南
2476689617,1980-1989,f,华北
1097019671,1980-1989,f,华北
1930729827,1980-1989,f,华东
1649227594,1980-1989,f,华东
2644198111,1980-1989,f,华东
2375437395,1980-1989,f,西南
2263800485,1980-1989,f,华北
2458637554,1980-1989,f,华东
1240850170,1980-1989,f,华东
1086517472,1980-1989,f,华南
1836349401,1980-1989,f,华北
1826335820,1980-1989,f,华东
1958048501,1980-1989,f,华南
2809972164,1980-1989,f,华北
2831291060,1980-1989,f,华东
1650731783,1980-1989,f,华东
1281528805,1980-1989,f,华东
1741043280,1980-1989,f,华南
1837060462,1980-1989,f,华东
1836822713,1980-1989,f,华东
1915896041,1980-1989,f,华东
2670042354,1980-1989,f,华北
1802528930,1980-1989,f,华南
2599364084,1980-1989,f,华东
2279362267,1980-1989,f,西南
2111113635,1980-1989,f,华中
2735422365,1980-1989,f,西北
1778605763,1980-1989,f,华北
1662043644,1980-1989,f,东北
1135568164,1980-1989,f,华北
1336549385,1980-1989,f,华东
2274064801,1980-1989,f,华东
1308616370,1980-1989,f,西南
1158228704,1980-1989,f,华东
1876750515,1980-1989,f,华南
1644215093,1980-1989,f,华东
2300801527,1980-1989,f,华北
1940865523,1980-1989,f,华南
2954775382,1980-1989,f,华南
1480133234,1980-1989,f,西南
2720364610,1980-1989,f,华东
3014169797,1980-1989,f,西南
1788175537,1980-1989,f,华南
2975228027,1980-1989,f,华东
2958966260,1980-1989,f,华南
2385008674,1980-1989,f,华东
1848989161,1980-1989,f,华南
2485579657,1980-1989,f,华北
1480975182,1980-1989,f,华东
2418735472,1980-1989,f,华东
1934690391,1980-1989,f,西南
1073390982,1980-1989,f,华北
2188135785,1980-1989,f,华中
2642296631,1980-1989,f,西南
2211874627,1980-1989,f,华北
1913436627,1980-1989,f,华南
1410895810,1980-1989,f,华北
1707022000,1980-1989,f,华中
2254551532,1980-1989,f,西南
3095326151,1980-1989,f,华中
2532595942,1980-1989,f,华北
2678104171,1980-1989,f,华东
2015436193,1980-1989,f,华北
2464130854,1980-1989,f,华东
1759652113,1980-1989,f,华南
1751345681,1980-1989,m,华南
2389252782,1980-1989,f,华南
1588233575,1980-1989,f,华东
2791460161,1980-1989,f,华东
2416528024,1980-1989,f,华东
1553062685,1980-1989,f,华东
1421582511,1980-1989,f,华东
1817304600,1980-1989,f,华南
2926286584,1980-1989,f,华南
2532726222,1980-1989,f,东北
1889305682,1980-1989,f,华南
1010206540,1980-1989,f,华东
1771376163,1980-1989,f,华北
1791600157,1980-1989,f,东北
1871185137,1980-1989,f,华北
2461401527,1980-1989,f,华北
1130222531,1980-1989,f,华东
2356851304,1980-1989,f,华北
1253327042,1980-1989,f,华南
1760380282,1980-1989,f,华东
2179467223,1980-1989,f,华中
2632945384,1980-1989,f,华东
2365955653,1980-1989,f,华中
2762134860,1980-1989,f,华东
1702092531,1980-1989,m,华北
2718265731,1980-1989,f,华南
2311715697,1980-1989,f,华中
1764089704,1980-1989,f,华南
1407764102,1980-1989,f,西北
1045284441,1980-1989,f,华北
1816341994,1980-1989,f,西南
1419021967,1980-1989,f,华东
1560811012,1980-1989,f,华东
1766696047,1980-1989,f,西南
3164697567,1980-1989,f,华南
1670461631,1980-1989,f,华东
2388498761,1980-1989,f,华中
1591037164,1980-1989,f,华北
1706717647,1980-1989,f,华东
2554042422,1980-1989,f,西北
2373739231,1980-1989,f,西南
2299291803,1980-1989,f,西北
1091761162,1980-1989,f,华东
2251922121,1980-1989,f,华北
1088659091,1980-1989,f,华北
2081601367,1980-1989,f,华东
2642665271,1980-1989,f,华东
1197039675,1980-1989,f,华东
2243558527,1980-1989,f,华南
1904135293,1980-1989,f,东北
2556295304,1980-1989,f,华东
